User,Date,Time in Locked Mode,,,,,,,
,26-Apr-13,16.27388889,,,,,,,
,27-Apr-13,17.5625,,,,,,,
,27-Mar-13,14.95527778,,,,,,,
,28-Apr-13,24.34472222,,,,,,,
,28-Mar-13,17.17833333,,,,,,,
,29-Apr-13,16.50666667,,,,,,,
,29-Mar-13,15.34805556,,,,,,,
,30-Apr-13,20.46083333,,,,,,,
,30-Mar-13,25.73833333,,,,,,,
,31-Mar-13,13.56833333,,,,,,,
6,1-Apr-13,19.47416667,,,,,,,
,1-May-13,7.250555556,,,,,,,
,2-Apr-13,21.3675,,,,,,,
,2-May-13,8.665833333,,,,,,,
,3-Apr-13,21.87277778,,,,,,,
,3-May-13,21.70694444,,,,,,,
,4-Apr-13,22.21972222,,,,,,,
,4-May-13,20.2425,,,,,,,
,5-Apr-13,2.805277778,,,,,,,
,5-May-13,2.849722222,,,,,,,
,6-Apr-13,24.07277778,,,,,,,
,6-May-13,9.943888889,,,,,,,
,7-Apr-13,14.70805556,,,,,,,
,8-Apr-13,15.38,,,,,,,
,8-May-13,5.991944444,,,,,,,
,9-Apr-13,22.02138889,,,,,,,
,9-May-13,1.511388889,,,,,,,
,10-Apr-13,18.00861111,,,,,,,
,10-May-13,5.781944444,,,,,,,
,11-Apr-13,11.49,,,,,,,
,12-Apr-13,5.368333333,,,,,,,
,12-May-13,8.780833333,,,,,,,
,13-Apr-13,1.718888889,,,,,,,
,13-May-13,8.367777778,,,,,,,
,14-Apr-13,22.14222222,,,,,,,
,15-Apr-13,19.45444444,,,,,,,
,15-May-13,9.599722222,,,,,,,
,16-Apr-13,4.909444444,,,,,,,
,17-Apr-13,25.15805556,,,,,,,
,18-Apr-13,2.382222222,,,,,,,
,18-May-13,3.656666667,,,,,,,
,19-Apr-13,2.921111111,,,,,,,
,19-May-13,8.8625,,,,,,,
,20-Apr-13,2.494166667,,,,,,,
,20-May-13,1.124166667,,,,,,,
,21-Apr-13,4.510277778,,,,,,,
,21-May-13,8.531388889,,,,,,,
,22-Apr-13,12.9625,,,,,,,
,22-May-13,21.4625,,,,,,,
,23-Apr-13,12.99555556,,,,,,,
,24-Apr-13,11.20888889,,,,,,,
,24-May-13,1.088333333,,,,,,,
,25-Apr-13,18.58388889,,,,,,,
,26-Apr-13,13.30111111,,,,,,,
,27-Apr-13,15.65777778,,,,,,,
,27-Mar-13,16.16305556,,,,,,,
,27-May-13,3.541388889,,,,,,,
,28-Apr-13,4.297777778,,,,,,,
